external_id,content,customer_segment,product_name,rating,language,feedback_created_at
VOC-001,"쿠폰을 적용하면 결제가 계속 실패해요. 지금 확인해 주세요.",신규고객,모바일 앱,1,ko,2026-07-01 09:15:00
VOC-002,"결제 완료 버튼을 눌렀는데 오류가 나고 주문이 생성되지 않았습니다.",일반고객,모바일 앱,1,ko,2026-07-01 11:30:00
VOC-003,"환불 처리가 일주일째 안 돼서 불편합니다.",VIP,온라인 스토어,2,ko,2026-07-02 14:20:00
VOC-004,"쿠폰 결제 실패 후 포인트만 차감되었습니다.",일반고객,온라인 스토어,1,ko,2026-07-03 08:45:00
VOC-005,"로그인 인증 문자가 오지 않아 앱을 사용할 수 없습니다.",신규고객,모바일 앱,2,ko,2026-07-03 12:05:00
VOC-006,"비밀번호를 바꾼 뒤 로그인이 계속 실패합니다.",일반고객,모바일 앱,1,ko,2026-07-04 16:40:00
VOC-007,"간편 로그인 기능이 편리하고 좋아요.",일반고객,모바일 앱,5,ko,2026-07-05 10:10:00
VOC-008,"배송 예정일이 지났는데 아직 도착하지 않았습니다.",VIP,온라인 스토어,2,ko,2026-07-05 18:25:00
VOC-009,"배송 조회가 느려서 현재 위치를 확인하기 어렵습니다.",일반고객,온라인 스토어,2,ko,2026-07-06 13:50:00
VOC-010,"빠른 배송과 친절한 안내에 만족합니다.",신규고객,온라인 스토어,5,ko,2026-07-07 09:35:00
VOC-011,"자주 사는 상품을 저장하는 기능을 추가해 주세요.",VIP,모바일 앱,4,ko,2026-07-08 15:00:00
VOC-012,"검색 필터가 복잡해서 원하는 상품을 찾기 불편합니다.",일반고객,온라인 스토어,2,ko,2026-07-09 17:10:00
